Zip,Income
60606,100377
60601,77374
60611,69889
60614,68324
60603,61815
60655,59849
60646,58232
60605,56151
60657,55647
60631,55316
60661,54698
60652,53120
60643,51305
60610,51294
60634,50042
60613,48381
60630,47905
60656,47512
60638,45173
60659,45064
60641,42182
60645,41438
60618,41355
60607,40972
60633,40792
60629,40279
60639,40165
60625,40083
60622,38487
60628,38210
60632,37406
60620,36334
60617,35534
60647,35283
60660,34293
60619,33631
60651,32622
60640,32466
60615,31571
60626,31318
60604,31250
60616,30625
60623,28203
60608,28026
60636,27727
60649,27699
60644,26930
60609,25705
60612,25143
60602,23750
60637,23228
60624,22426
60621,19718
60653,14205
60654,0
